"","Month","Neighbourhood","Mean","Count"
"350",2,"TRIBECA                  ",3084029.79166667,24
"351",3,"TRIBECA                  ",2717794.14285714,63
"352",4,"TRIBECA                  ",2741844.23684211,76
"353",5,"TRIBECA                  ",2449719.58490566,53
"354",6,"TRIBECA                  ",2829793.63265306,49
"355",7,"TRIBECA                  ",6939884.39622642,53
"356",8,"TRIBECA                  ",2203541.17021277,47
"357",9,"TRIBECA                  ",4086749.48484848,33
"358",10,"TRIBECA                  ",4757906.18604651,43
"359",11,"TRIBECA                  ",1987041.27027027,37
"360",12,"TRIBECA                  ",11292436.7941176,34
"361",1,"UPPER EAST SIDE (59-79)  ",1473502.42990654,107
"362",2,"UPPER EAST SIDE (59-79)  ",2141485.21100917,109
"363",3,"UPPER EAST SIDE (59-79)  ",2420542.58333333,132
"364",4,"UPPER EAST SIDE (59-79)  ",1869857.45637584,149
"365",5,"UPPER EAST SIDE (59-79)  ",1566282.13496933,163
"366",6,"UPPER EAST SIDE (59-79)  ",2385945.62318841,207
"367",7,"UPPER EAST SIDE (59-79)  ",2342284.65196078,204
"368",8,"UPPER EAST SIDE (59-79)  ",2186715.17021277,188
"369",9,"UPPER EAST SIDE (59-79)  ",2059758.1589404,151
"370",10,"UPPER EAST SIDE (59-79)  ",2167606.01595745,188
"371",11,"UPPER EAST SIDE (59-79)  ",4422576.41044776,134
"372",12,"UPPER EAST SIDE (59-79)  ",3429667.44324324,185
"373",1,"UPPER EAST SIDE (79-96)  ",1257602.63366337,101
"374",2,"UPPER EAST SIDE (79-96)  ",1569211.60714286,84
"375",3,"UPPER EAST SIDE (79-96)  ",1580472.33673469,98
"376",4,"UPPER EAST SIDE (79-96)  ",1700881.07272727,110
"377",5,"UPPER EAST SIDE (79-96)  ",1489050.09395973,149
"378",6,"UPPER EAST SIDE (79-96)  ",1535049.68449198,187
"379",7,"UPPER EAST SIDE (79-96)  ",1841680.9132948,173
"380",8,"UPPER EAST SIDE (79-96)  ",1475239.47976879,173
"381",9,"UPPER EAST SIDE (79-96)  ",1617623.89230769,130
"382",10,"UPPER EAST SIDE (79-96)  ",1868893.84180791,177
"383",11,"UPPER EAST SIDE (79-96)  ",2019396.421875,128
"384",12,"UPPER EAST SIDE (79-96)  ",3238358.275,120
"385",1,"UPPER EAST SIDE (96-110) ",2117294.83333333,6
"386",2,"UPPER EAST SIDE (96-110) ",3059750,3
"387",3,"UPPER EAST SIDE (96-110) ",1373963.63636364,11
"388",4,"UPPER EAST SIDE (96-110) ",2182109.25,8
"389",5,"UPPER EAST SIDE (96-110) ",1736765.16666667,12
"390",6,"UPPER EAST SIDE (96-110) ",1770646,20
"391",7,"UPPER EAST SIDE (96-110) ",1668634.5,14
"392",8,"UPPER EAST SIDE (96-110) ",1466186.2,15
"393",9,"UPPER EAST SIDE (96-110) ",2012464.85714286,7
"394",10,"UPPER EAST SIDE (96-110) ",1246272.72727273,11
"395",11,"UPPER EAST SIDE (96-110) ",1481785.71428571,7
"396",12,"UPPER EAST SIDE (96-110) ",3790962.44444444,9
"397",1,"UPPER WEST SIDE (59-79)  ",1558266.59183673,98
"398",2,"UPPER WEST SIDE (59-79)  ",1493735.34883721,86
"399",3,"UPPER WEST SIDE (59-79)  ",1773558.58974359,78
"400",4,"UPPER WEST SIDE (59-79)  ",5154383.73504274,117
"401",5,"UPPER WEST SIDE (59-79)  ",1824883.72262774,137
"402",6,"UPPER WEST SIDE (59-79)  ",1903095.83673469,147
"403",7,"UPPER WEST SIDE (59-79)  ",1676749.87356322,174
"404",8,"UPPER WEST SIDE (59-79)  ",2005836.84713376,157
"405",9,"UPPER WEST SIDE (59-79)  ",1759651.02654867,113
"406",10,"UPPER WEST SIDE (59-79)  ",1649586.00769231,130
"407",11,"UPPER WEST SIDE (59-79)  ",1671378.97938144,97
"408",12,"UPPER WEST SIDE (59-79)  ",4337014.17266187,139
"409",1,"UPPER WEST SIDE (79-96)  ",1481784.96078431,51
"410",2,"UPPER WEST SIDE (79-96)  ",1437735.21212121,66
"411",3,"UPPER WEST SIDE (79-96)  ",3501375,59
"412",4,"UPPER WEST SIDE (79-96)  ",1563376.63043478,46
"413",5,"UPPER WEST SIDE (79-96)  ",1668351.7012987,77
"414",6,"UPPER WEST SIDE (79-96)  ",737473.987096774,155
"415",7,"UPPER WEST SIDE (79-96)  ",1669785.79166667,96
"416",8,"UPPER WEST SIDE (79-96)  ",2780727.8172043,93
"417",9,"UPPER WEST SIDE (79-96)  ",1678187.71212121,66
"418",10,"UPPER WEST SIDE (79-96)  ",1902938.69,100
"419",11,"UPPER WEST SIDE (79-96)  ",1467647.53731343,67
"420",12,"UPPER WEST SIDE (79-96)  ",3639986.96629213,89
"421",1,"UPPER WEST SIDE (96-116) ",1098314.85714286,14
"422",2,"UPPER WEST SIDE (96-116) ",1080119.24,25
"423",3,"UPPER WEST SIDE (96-116) ",3197670.81481481,27
"424",4,"UPPER WEST SIDE (96-116) ",1246715.21875,32
"425",5,"UPPER WEST SIDE (96-116) ",1039418.63636364,44
"426",6,"UPPER WEST SIDE (96-116) ",3895967.56521739,46
"427",7,"UPPER WEST SIDE (96-116) ",1706767.03921569,51
"428",8,"UPPER WEST SIDE (96-116) ",1413816.75,40
"429",9,"UPPER WEST SIDE (96-116) ",2029347.22222222,36
"430",10,"UPPER WEST SIDE (96-116) ",1109593.43902439,41
"431",11,"UPPER WEST SIDE (96-116) ",1137195.52631579,19
"432",12,"UPPER WEST SIDE (96-116) ",785346.228571429,35
"433",1,"WASHINGTON HEIGHTS LOWER ",2270670.14285714,7
"434",2,"WASHINGTON HEIGHTS LOWER ",2564766.66666667,15
"435",3,"WASHINGTON HEIGHTS LOWER ",733285.857142857,7
"436",4,"WASHINGTON HEIGHTS LOWER ",271475,4
"437",5,"WASHINGTON HEIGHTS LOWER ",1909666.55555556,9
"438",6,"WASHINGTON HEIGHTS LOWER ",1654363.63636364,11
"439",7,"WASHINGTON HEIGHTS LOWER ",2087573.66666667,15
"440",8,"WASHINGTON HEIGHTS LOWER ",3461374.66666667,15
"441",9,"WASHINGTON HEIGHTS LOWER ",2465631.16666667,12
"442",10,"WASHINGTON HEIGHTS LOWER ",3017758.78571429,14
"443",11,"WASHINGTON HEIGHTS LOWER ",2552676.7,10
"444",12,"WASHINGTON HEIGHTS LOWER ",941970.909090909,11
"445",1,"WASHINGTON HEIGHTS UPPER ",2292869.88888889,27
"446",2,"WASHINGTON HEIGHTS UPPER ",1999746.59090909,22
"447",3,"WASHINGTON HEIGHTS UPPER ",715662.375,24
"448",4,"WASHINGTON HEIGHTS UPPER ",2288006.48148148,27
"449",5,"WASHINGTON HEIGHTS UPPER ",1707124.66666667,27
"450",6,"WASHINGTON HEIGHTS UPPER ",398229.083333333,36
"451",7,"WASHINGTON HEIGHTS UPPER ",1019382.57142857,35
"452",8,"WASHINGTON HEIGHTS UPPER ",2235077.21428571,28
"453",9,"WASHINGTON HEIGHTS UPPER ",694583.864864865,37
"454",10,"WASHINGTON HEIGHTS UPPER ",1611077,27
"455",11,"WASHINGTON HEIGHTS UPPER ",606486.333333333,24
"456",12,"WASHINGTON HEIGHTS UPPER ",926893.28,25
"457",13,"ALPHABET CITY            ",637464.875,8
"458",14,"ALPHABET CITY            ",1031611.11111111,9
"459",15,"ALPHABET CITY            ",2275797.22222222,9
"460",16,"ALPHABET CITY            ",3793222.22222222,9
"461",17,"ALPHABET CITY            ",1054350,10
"462",18,"ALPHABET CITY            ",912000,5
"463",19,"ALPHABET CITY            ",4136722.22222222,9
"464",20,"ALPHABET CITY            ",1934800,10
"465",21,"ALPHABET CITY            ",5447500,4
"466",22,"ALPHABET CITY            ",1360819.36363636,11
"467",23,"ALPHABET CITY            ",3006566.73333333,15
"468",24,"ALPHABET CITY            ",7222000,16
"469",13,"CHELSEA                  ",4985087.07692308,78
"470",14,"CHELSEA                  ",2346165.38596491,57
"471",15,"CHELSEA                  ",3980689.32258065,62
"472",16,"CHELSEA                  ",1981901.5915493,71
"473",17,"CHELSEA                  ",2545534.23684211,76
"474",18,"CHELSEA                  ",4423845.15942029,69
"475",19,"CHELSEA                  ",3110229.3253012,83
"476",20,"CHELSEA                  ",6326761.06493506,77
"477",21,"CHELSEA                  ",2121171.50847458,59
"478",22,"CHELSEA                  ",3583108.76829268,82
"479",23,"CHELSEA                  ",2357650.29824561,57
"480",24,"CHELSEA                  ",7753353.67741936,62
"481",13,"CHINATOWN                ",6700512,6
"482",14,"CHINATOWN                ",3692779.4,10
"483",15,"CHINATOWN                ",10046419.1666667,6
"484",16,"CHINATOWN                ",730000,1
"485",17,"CHINATOWN                ",1618049.5,6
"486",18,"CHINATOWN                ",5640550,10
"487",19,"CHINATOWN                ",1188760,5
"488",20,"CHINATOWN                ",1294385.75,4
