,Unnamed: 0,Month,Neighbourhood,Mean,Count
428,429,9,UPPER WEST SIDE (96-116),2029347.22222222,36
429,430,10,UPPER WEST SIDE (96-116),1109593.43902439,41
430,431,11,UPPER WEST SIDE (96-116),1137195.52631579,19
431,432,12,UPPER WEST SIDE (96-116),785346.228571429,35
432,433,1,WASHINGTON HEIGHTS LOWER,2270670.14285714,7
433,434,2,WASHINGTON HEIGHTS LOWER,2564766.66666667,15
434,435,3,WASHINGTON HEIGHTS LOWER,733285.857142857,7
435,436,4,WASHINGTON HEIGHTS LOWER,271475.0,4
436,437,5,WASHINGTON HEIGHTS LOWER,1909666.55555556,9
437,438,6,WASHINGTON HEIGHTS LOWER,1654363.63636364,11
438,439,7,WASHINGTON HEIGHTS LOWER,2087573.66666667,15
439,440,8,WASHINGTON HEIGHTS LOWER,3461374.66666667,15
440,441,9,WASHINGTON HEIGHTS LOWER,2465631.16666667,12
441,442,10,WASHINGTON HEIGHTS LOWER,3017758.78571429,14
442,443,11,WASHINGTON HEIGHTS LOWER,2552676.7,10
443,444,12,WASHINGTON HEIGHTS LOWER,941970.9090909091,11
444,445,1,WASHINGTON HEIGHTS UPPER,2292869.88888889,27
445,446,2,WASHINGTON HEIGHTS UPPER,1999746.59090909,22
446,447,3,WASHINGTON HEIGHTS UPPER,715662.375,24
447,448,4,WASHINGTON HEIGHTS UPPER,2288006.48148148,27
448,449,5,WASHINGTON HEIGHTS UPPER,1707124.66666667,27
449,450,6,WASHINGTON HEIGHTS UPPER,398229.08333333296,36
450,451,7,WASHINGTON HEIGHTS UPPER,1019382.57142857,35
451,452,8,WASHINGTON HEIGHTS UPPER,2235077.21428571,28
452,453,9,WASHINGTON HEIGHTS UPPER,694583.864864865,37
453,454,10,WASHINGTON HEIGHTS UPPER,1611077.0,27
454,455,11,WASHINGTON HEIGHTS UPPER,606486.333333333,24
455,456,12,WASHINGTON HEIGHTS UPPER,926893.28,25
456,457,13,ALPHABET CITY,637464.875,8
457,458,14,ALPHABET CITY,1031611.11111111,9
458,459,15,ALPHABET CITY,2275797.22222222,9
459,460,16,ALPHABET CITY,3793222.22222222,9
460,461,17,ALPHABET CITY,1054350.0,10
461,462,18,ALPHABET CITY,912000.0,5
462,463,19,ALPHABET CITY,4136722.22222222,9
463,464,20,ALPHABET CITY,1934800.0,10
464,465,21,ALPHABET CITY,5447500.0,4
465,466,22,ALPHABET CITY,1360819.36363636,11
466,467,23,ALPHABET CITY,3006566.73333333,15
467,468,24,ALPHABET CITY,7222000.0,16
468,469,13,CHELSEA,4985087.07692308,78
469,470,14,CHELSEA,2346165.38596491,57
470,471,15,CHELSEA,3980689.32258065,62
471,472,16,CHELSEA,1981901.5915493,71
